#,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Änderung,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410
89,Messlokation,SG5,,,,,,Muss [399] ∧ [682],"[399] Wenn im SG8 SEQ+Z78 RFF+Z31 (Referenz auf die Lokationsbündelstruktur) im DE1153 der Code Z31 (Lokationsbündelstruktur) vorhanden ist und im DE1154 (ID der Lokationsbündelstruktur)  der Code 9992 00000 001 8 nicht vorhanden ist.
[682] Hinweis: Es sind alle Messlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören sowie die prozessual behandelte Messlokation im DE5479 zu kennzeichnen. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der weitern Messlokationen zu beschreiben",,Messlokation,SG5,,,,,,Muss [399] ∧ [682],"[399] Wenn im SG8 SEQ+Z78 RFF+Z31 (Referenz auf die Lokationsbündelstruktur) im DE1153 der Code Z31 (Lokationsbündelstruktur) vorhanden ist und im DE1154 (ID der Lokationsbündelstruktur)  der Code 9992 00000 001 8 nicht vorhanden ist.
[682] Hinweis: Es sind alle Messlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören sowie die prozessual behandelte Messlokation im DE5479 zu kennzeichnen. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der weitern Messlokationen zu beschreiben"
90,Messlokation,SG5,LOC,,00055,,,Muss,,,Messlokation,SG5,LOC,,00055,,,Muss,
91,Messlokation,SG5,LOC,3227,00055,Z17,Messlokation,X,,,Messlokation,SG5,LOC,3227,00055,Z17,Messlokation,X,
92,Messlokation,SG5,LOC,3225,00055,,ID der Messlokation,X [951],[951] Format: Zählpunktbezeichnung,,Messlokation,SG5,LOC,3225,00055,,ID der Messlokation,X [951],[951] Format: Zählpunktbezeichnung
93,Messlokation,SG5,LOC,5479,00055,Z01,Lokationszuordnung unverändert,X,,,Messlokation,SG5,LOC,5479,00055,Z01,Lokationszuordnung unverändert,X,
94,Messlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Messlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
95,Messlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Messlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
96,Prüfidentifikator,SG6,,,,,,Muss,,,Prüfidentifikator,SG6,,,,,,Muss,
97,Prüfidentifikator,SG6,RFF,,00057,,,Muss,,,Prüfidentifikator,SG6,RFF,,00057,,,Muss,
98,Prüfidentifikator,SG6,RFF,1153,00057,Z13,Prüfidentifikator,X,,,Prüfidentifikator,SG6,RFF,1153,00057,Z13,Prüfidentifikator,X,
99,Prüfidentifikator,SG6,RFF,1154,00057,55173,SDÄ Strom / Änderung der Lokationsbündelstruktur NB an MSB,X,,,Prüfidentifikator,SG6,RFF,1154,00057,55173,SDÄ Strom / Änderung der Lokationsbündelstruktur NB an MSB,X,
100,Referenz auf die Lokationsbündelstruktur,SG8,,,,,,Muss [309] ∧ [513],"[309] Wenn DTM+137 (Nachrichtendatum) im DE2380 ≥ 202409302200?+00
[513] Hinweis: Bei Anwendung dieser Segmentgruppe vor dem 01.10.2024 sind die Codes in diesem Segment noch nicht gültig. Somit wird der Geschäftsvorfall mit einer Verarbeitbarkeitsfehlermeldu ng mit Fehlercode Z39 (Code nicht aus erlaubtem Wertebereich“) abgelehnt werden",,Referenz auf die Lokationsbündelstruktur,SG8,,,,,,Muss [309] ∧ [513],"[309] Wenn DTM+137 (Nachrichtendatum) im DE2380 ≥ 202409302200?+00
[513] Hinweis: Bei Anwendung dieser Segmentgruppe vor dem 01.10.2024 sind die Codes in diesem Segment noch nicht gültig. Somit wird der Geschäftsvorfall mit einer Verarbeitbarkeitsfehlermeldu ng mit Fehlercode Z39 (Code nicht aus erlaubtem Wertebereich“) abgelehnt werden"
101,Referenz auf die Lokationsbündelstruktur,SG8,SEQ,,00071,,,Muss,,,Referenz auf die Lokationsbündelstruktur,SG8,SEQ,,00071,,,Muss,
102,Referenz auf die Lokationsbündelstruktur,SG8,SEQ,1229,00071,Z78,Referenz auf die Lokationsbündelstruktur,X,,,Referenz auf die Lokationsbündelstruktur,SG8,SEQ,1229,00071,Z78,Referenz auf die Lokationsbündelstruktur,X,
103,Referenz auf die Lokationsbündelstruktur,SG8,RFF,,00072,,,Muss,,,Referenz auf die Lokationsbündelstruktur,SG8,RFF,,00072,,,Muss,
